略称,呼称,id,年,所属,ライセンス,事業期間（月数）,順位,勝ち点,一試合あたり平均勝ち点,昇降格,営業収入,スポンサー収入,入場料収入,物販収入,Jリーグ配分金,移籍補償金等収入,アカデミー関連収入,女子チーム関連収入,その他収入,営業費用,チーム人件費,トップチーム運営経費,試合関連経費,物販関連費,移籍関連費用,アカデミー運営経費,女子チーム運営経費,その他売上原価,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,資産の部,流動負債,固定負債,負債の部,資本金,資本剰余金等,利益剰余金,純資産の部,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,プレーオフ入場者数,プレーオフホーム試合数,ACL入場者数,ACLホーム試合数,年間総入場者数,年間ホーム試合数
鹿島,鹿島アントラーズ,antlers,2025,J1,J1,12,1,76,2.0000,Null,8173,3324,1458,1066,939,,,,,8301,,,,,,,,,2320,-127,48,69,-148,,,-148,3,-151,,,,,,,,,,,520615,19,0,0,0,0,0,0,520615,19
浦和,浦和レッズ,urawa,2025,J1,J1,12,7,59,1.5526,Null,11310,4195,2214,1682,539,,,,,11532,,,,,,,,,,-222,,,-79,,,,,-100,,,3836,,,2015,273,113,1436,1821,709655,19,19767,1,0,0,0,0,729422,20
FC東京,FC東京,fctokyo,2025,J1,J1,12,11,50,1.3158,Null,7210,3223,1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600204,19,0,0,0,0,0,0,600204,19
東京V,東京ヴェルディ,verdy,2025,J1,J1,12,17,43,1.1316,Null,4510,1331,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401300,19,8377,1,0,0,0,0,409677,20
町田,FC町田ゼルビア,zelvia,2025,J1,J1,12,6,60,1.5789,Null,6914,4581,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266350,19,0,0,0,0,13544,3,279894,22
川崎,川崎フロンターレ,kawasaki,2025,J1,J1,12,8,57,1.5000,Null,10069,3765,1469,,,,,,,,,,,,,,,,,,,,,,,,,,1720,4048,5768,3223,111,3334,349,30,2053,5768,418949,19,42719,2,0,0,13277,1,474945,22
横浜FM,横浜F・マリノス,fmarinos,2025,J1,J1,12,15,43,1.1316,Null,7751,2871,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504979,19,9656,1,0,0,9482,1,524117,21
横浜FC,横浜FC,yokohamafc,2025,J1,J1,12,18,35,0.9211,降格,3303,1584,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193773,19,19703,4,0,0,0,0,213476,23
新潟,アルビレックス新潟,albirex,2025,J1,J1,12,20,24,0.6316,降格,4514,1426,1247,,332,585,,,,4060,1078,355,,,408,,,,461,453,58,12,499,0,5,494,218,276,,,,,,,,,,,429418,19,8416,1,0,0,0,0,437834,20
清水,清水エスパルス,shimizu,2025,J1,J1,12,14,44,1.1579,Null,5353,2672,1128,,,,,,,5317,,,,,,,,,,35,,,38,,,,,34,453,934,1387,1009,154,1164,,,,222,357263,19,0,0,0,0,0,0,357263,19
名古屋,名古屋グランパス,nagoya,2025,J1,J1,12,16,43,1.1316,Null,6463,2988,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613003,19,0,0,0,0,0,0,613003,19
京都,京都サンガF.C.,sanga,2025,J1,J1,12,3,68,1.7895,Null,4435,2371,891,,,,,,,,,,,,,,,,,,,,309,,,,,205,,,1828,,,840,,,,988,314220,19,6233,1,0,0,0,0,320453,20
G大阪,ガンバ大阪,gamba,2025,J1,J1,12,9,57,1.5000,Null,8817,2292,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570135,19,0,0,0,0,25440,3,595575,22
C大阪,セレッソ大阪,cerezo,2025,J1,J1,12,10,52,1.3684,Null,5720,2758,1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354430,19,7110,1,0,0,0,0,361540,20
神戸,ヴィッセル神戸,vissel,2025,J1,J1,12,5,64,1.6842,Null,8711,3025,1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400880,19,6171,1,0,0,34384,5,441435,25
岡山,ファジアーノ岡山,fagiano,2025,J1,J1,5,13,45,1.1842,Null,1908,881,350,285,116,,,,,1750,,,,,,,,,,158,,,157,,,,,97,,,,,,,,,,,158075,11,0,0,0,0,0,0,158075,11
広島,サンフレッチェ広島,sanfrecce,2025,J1,J1,12,4,68,1.7895,Null,8348,2792,2166,,,,,,,,,,,,,,,,,,,,,,,,,413,,,,,,,,,,,486116,19,70562,3,0,0,46266,5,602944,27
福岡,アビスパ福岡,avispa,2025,J1,J1,12,12,48,1.2632,Null,3740,1543,647,,,,,,,3388,,,,,,,,,,352,,,346,,,,,154,,,,,,,,,,76,190598,19,3670,1,0,0,0,0,194268,20
仙台,ベガルタ仙台,vegalta,2025,J2,J1,12,7,62,1.6316,Null,2465,1387,478,,,,,,,2601,,,,,,,,,366,-137,5,9,-140,4,11,-148,1,-148,570,840,1410,641,533,1175,780,327,-872,235,261444,19,0,0,0,0,0,0,261444,19
秋田,ブラウブリッツ秋田,blaublitz,2025,J2,J1,12,14,43,1.1316,Null,1246,660,70,69,108,73,79,,188,1265,345,142,84,,59,142,,,,-18,26,2,5,0,0,5,-6,11,243,103,347,221,101,323,57,52,-85,23,94112,19,1519,1,0,0,0,0,95631,20
山形,モンテディオ山形,montedio,2025,J2,J1,12,10,53,1.3947,Null,3154,1222,373,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,210289,19,3701,1,0,0,0,0,213990,20
